Codigo,Descricao,Referencias
Q555,Ausência e aplasia congênitas do pênis,NA
Q556,Outras malformações congênitas do pênis,NA
Q558,Outras malformações congênitas especificadas dos órgãos genitais masculinos,NA
Q559,Malformação congênita não especificada dos órgãos genitais masculinos,NA
Q560,Hermafroditismo não classificado em outra parte,NA
Q561,"Pseudo-hermafroditismo masculino, não classificado em outra parte",NA
Q562,"Pseudo-hermafroditismo feminino, não classificado em outra parte",NA
Q563,Pseudo-hermafroditismo não especificado,NA
Q564,"Sexo indeterminado, não especificado",NA
Q600,Agenesia unilateral do rim,NA
Q601,Agenesia bilateral do rim,NA
Q602,Agenesia renal não especificada,NA
Q603,Hipoplasia renal unilateral,NA
Q604,Hipoplasia renal bilateral,NA
Q605,Hipoplasia renal não especificada,NA
Q606,Síndrome de Potter,NA
Q610,Cisto congênito único do rim,NA
Q611,"Rim policístico, autossômico recessivo",NA
Q612,"Rim policístico, autossômico dominante",NA
Q613,Rim policístico não especificado,NA
Q614,Displasia renal,NA
Q615,Cisto medular do rim,NA
Q618,Outras doenças císticas do rim,NA
Q619,Doença cística não especificada do rim,NA
Q620,Hidronefrose congênita,NA
Q621,Atresia e estenose do ureter,NA
Q622,Megaureter congênito,NA
Q623,Outras anomalias obstrutivas da pelve renal e do ureter,NA
Q624,Agenesia do ureter,NA
Q625,Duplicação do ureter,NA
Q626,Má-posição do ureter,NA
Q627,Refluxo vésico-uretero-renal congênito,NA
Q628,Outras malformações congênitas do ureter,NA
Q630,Rim supranumerário,NA
Q631,"Rim lobulado, fundido ou em ferradura",NA
Q632,Rim ectópico,NA
Q633,Rim hiperplásico e gigante,NA
Q638,Outras malformações congênitas especificadas do rim,NA
Q639,Malformação congênita não especificada do rim,NA
Q640,Epispádias,NA
Q641,Extrofia vesical,NA
Q642,Válvulas uretrais posteriores congênitas,NA
Q643,Outras formas de atresia e de estenose de uretra e do colo da bexiga,NA
Q644,Malformação do úraco,NA
Q645,Ausência congênita da bexiga e da uretra,NA
Q646,Divertículo congênito da bexiga,NA
Q647,Outras malformações congênitas da bexiga e da uretra,NA
Q648,Outras malformações congênitas especificadas do aparelho urinário,NA
Q649,Malformação congênita não especificada do aparelho urinário,NA
Q650,Luxação congênita unilateral do quadril,NA
Q651,Luxação congênita bilateral do quadril,NA
Q652,Luxação congênita não especificada do quadril,NA
Q653,Subluxação congênita unilateral do quadril,NA
Q654,Subluxação congênita bilateral do quadril,NA
Q655,Subluxação congênita não especificada do quadril,NA
Q656,Quadril instável,NA
Q658,Outras deformidades congênitas do quadril,NA
Q659,Deformidade congênita não especificada do quadril,NA
Q660,Pé torto eqüinovaro,NA
Q661,Pé torto calcaneovaro,NA
Q662,Metatarso varo,NA
Q663,Outras deformidades congênitas dos pés em varo,NA
Q664,Pé torto calcaneovalgo,NA
Q665,Pé chato congênito,NA
Q666,Outras deformidades congênitas dos pés em valgo,NA
Q667,Pé cavo,NA
Q668,Outras deformidades congênitas do pé,NA
Q669,Deformidade congênita não especificada do pé,NA
Q670,Assimetria facial,NA
Q671,Deformidade facial por compressão,NA
Q672,Dolicocefalia,NA
Q673,Plagiocefalia,NA
Q674,"Outras deformidades congênitas do crânio, da face e da mandíbula",NA
Q675,Deformidades congênitas da coluna vertebral,NA
Q676,Tórax escavado,NA
Q677,Tórax carinado,NA
Q678,Outras deformidades congênitas do tórax,NA
Q680,Deformidade congênita do músculo esternocleidomastoideu,NA
Q681,Deformidade congênita da mão,NA
Q682,Deformidade congênita do joelho,NA
Q683,Encurvamento congênito do fêmur,NA
Q684,Encurvamento congênito da tíbia e da perônio [fíbula],NA
Q685,Encurvamento congênito de ossos longos não especificados do membro inferior,NA
Q688,Outras deformidades osteomusculares congênitas,NA
Q690,Dedo(s) da mão supranumerário(s),NA
Q691,Polegar(es) supranumerário(s),NA
Q692,Artelho(s) supranumerário(s),NA
Q699,Polidactilia não especificada,NA
Q700,Coalescência dos dedos (dedos da mão fundidos),NA
Q701,Dedos palmados,NA
Q702,Coalescência dos artelhos (artelhos fundidos),NA
Q703,Artelhos palmados,NA
Q704,Polissindactilia,NA
Q709,Sindactilia não especificada,NA
Q710,Ausência congênita completa do(s) membro(s) superior(es),NA
Q711,"Ausência congênita do braço e do antebraço, com mão presente",NA
Q712,Ausência congênita do antebraço e da mão,NA
Q713,Ausência congênita da mão e de dedo(s),NA
Q714,Defeito de redução longitudinal do rádio,NA
Q715,Defeito de redução longitudinal do cúbito [ulna],NA
Q716,Mão em garra de lagosta,NA
Q718,Outros defeitos de redução do membro superior,NA
Q719,"Defeito por redução do membro superior, não especificado",NA
Q720,Ausência congênita completa do(s) membro(s) inferior(es),NA
Q721,Ausência congênita da coxa e da perna com pé presente,NA
Q722,Ausência congênita da perna e do pé,NA
Q723,Ausência congênita do pé e de artelho(s),NA
Q724,Defeito por redução longitudinal da tíbia,NA
Q725,Defeito por redução longitudinal da tíbia,NA
Q726,Defeito por redução longitudinal do perônio [fíbula],NA
Q727,Pé bífido,NA
Q728,Outros defeitos por redução do(s) membro(s) inferior(es),NA
Q729,Defeito não especificado por redução do membro inferior,NA
Q730,Ausência congênita de membro(s) não especificado(s),NA
Q731,"Focomelia, membro(s) não especificado(s)",NA
Q738,Outros defeitos por redução de membro(s) não especificado(s),NA
Q740,"Outras malformações congênitas do(s) membro(s) superiores, inclusive da cintura escapular",NA
Q741,Malformação congênita do joelho,NA
Q742,"Outras malformações congênitas do(s) membro(s) inferiores, inclusive da cintura pélvica",NA
Q743,Artrogripose congênita múltipla,NA
Q748,Outras malformações congênitas especificadas de membro(s),NA
Q749,Malformações congênitas não especificadas de membro(s),NA
Q750,Craniossinostose,NA
Q751,Disostose craniofacial,NA
Q752,Hipertelorismo,NA
Q753,Macrocefalia,NA
Q754,Disostose mandíbulo-facial,NA
Q755,Disostose óculo-mandibular,NA
Q758,Outras malformações congênitas especificadas dos ossos do crânio e da face,NA
Q759,Malformação congênita não especificada dos ossos do crânio e da face,NA
Q760,Espinha bífida oculta,NA
Q761,Síndrome de Klippel-Feil,NA
Q762,Espondilolistese congênita,NA
Q763,Escoliose congênita devida à malformação óssea congênita,NA
Q764,Outras malformações congênitas da coluna vertebral não-associadas com escoliose,NA
Q765,Costela cervical,NA
Q766,Outras malformações congênitas das costelas,NA
Q767,Malformação congênita do esterno,NA
Q768,Outras malformações congênitas dos ossos do tórax,NA
Q769,Malformação congênita não especificada dos ossos do tórax,NA
Q770,Acondrogenesia,NA
Q771,Nanismo tanatofórico,NA
Q772,Síndrome das costelas curtas,NA
Q773,Condrodisplasia puntacta,NA
Q774,Acondroplasia,NA
Q775,Displasia diastrófica,NA
Q776,Displasia condroectodérmica,NA
Q777,Displasia espondiloepifisária,NA
Q778,Outras osteocondrodisplasias com anomalias do crescimento dos ossos longos e da coluna vertebral,NA
Q779,Osteocondrodisplasia não especificada com anomalias do crescimento dos ossos longos e da coluna vertebral,NA
Q780,Osteogênese imperfeita,NA
Q781,Displasia poliostótica fibrosa,NA
Q782,Osteopetrose,NA
Q783,Displasia diafisária progressiva,NA
Q784,Encondromatose,NA
Q785,Displasia metafisária,NA
Q786,Exostoses congênitas múltiplas,NA
Q788,Outras osteocondrodisplasias especificadas,NA
Q789,Osteocondrodisplasia não especificada,NA
Q790,Hérnia diafragmática congênita,NA
Q791,Outras malformações congênitas do diafragma,NA
Q792,Exonfalia,NA
Q793,Gastrosquise,NA
Q794,"Síndrome do abdome em ameixa seca (""prune belly syndrome"")",NA
Q795,Outras malformações congênitas da parede abdominal,NA
Q796,Síndrome de Ehlers-Danlos,NA
Q798,Outras malformações congênitas do sistema osteomuscular,NA
Q799,Malformação congênita não especificada do sistema osteomuscular,NA
Q800,Ictiose vulgar,NA
Q801,Ictiose ligada ao cromossomo X,NA
Q802,Ictiose lamelar,NA
Q803,Eritrodermia ictiosiforme bulhosa congênita,NA
Q804,Feto arlequim,NA
Q808,Outras ictioses congênitas,NA
Q809,Ictiose congênita não especificada,NA
Q810,Epidermólise bolhosa simples,NA
Q811,Epidermólise bolhosa letal,NA
Q812,Epidermólise bolhosa distrófica,NA
Q818,Outras epidermólises bolhosas,NA
Q819,Epidermólise bolhosa não especificada,NA
Q820,Linfedema hereditário,NA
Q821,Xeroderma pigmentoso,NA
Q822,Mastocitose,NA
Q823,Incontinentia pigmenti,NA
Q824,Displasia ectodérmica (anidrótica),NA
Q825,Nevo não-neoplásico congênito,NA
Q828,Outras malformações congênitas especificadas da pele,NA
Q829,Malformação congênita não especificada da pele,NA
Q830,Ausência congênita da mama com ausência do mamilo,NA
Q831,Mama supranumerária,NA
Q832,Ausência de mamilo,NA
Q833,Mamilo acessório,NA
Q838,Outras malformações congênitas da mama,NA
Q839,Malformação congênita não especificada da mama,NA
Q840,Alopécia congênita,NA
Q841,Alterações morfológicas congênitas dos cabelos não classificadas em outra parte,NA
Q842,Outras malformações congênitas dos cabelos,NA
Q843,Anoníquia,NA
Q844,Leuconíquia congênita,NA
Q845,Hipertrofia e alargamento das unhas,NA
Q846,Outras malformações congênitas das unhas,NA
Q848,Outras malformações congênitas especificadas do tegumento,NA
Q849,Malformação congênita não especificada do tegumento,NA
Q850,Neurofibromatose (não-maligna),NA
Q851,Esclerose tuberosa,NA
Q858,Outras facomatoses não classificadas em outra parte,NA
Q859,Facomatose não especificada,NA
Q860,Síndrome fetal alcoólico (dismórfico),NA
Q861,Síndrome fetal devida à hidantoína,NA
Q862,Dismorfismo devido ao Warfarin,NA
Q868,Outras síndromes com malformações congênitas devidas a causas exógenas conhecidas,NA
Q870,Síndromes com malformações congênitas afetando predominantemente o aspecto da face,NA
Q871,Síndromes com malformações congênitas associadas predominantemente com nanismo,NA
Q872,Síndromes com malformações congênitas afetando predominantemente os membros,NA
Q873,Síndromes com malformações congênitas com hipercrescimento precoce,NA
Q874,Síndrome de Marfan,NA
Q875,Outras síndromes com malformações congênitas com outras alterações do esqueleto,NA
Q878,"Outras síndromes com malformações congênitas especificadas, não classificadas em outra parte",NA
Q890,Malformações congênitas do baço,NA
Q891,Malformações congênitas das supra-renais,NA
Q892,Malformações congênitas de outras glândulas endócrinas,NA
Q893,Situs inversus,NA
Q894,Reunião de gêmeos,NA
Q897,"Malformações congênitas múltiplas, não classificadas em outra parte",NA
Q898,Outras malformações congênitas especificadas,NA
Q899,Malformações congênitas não especificadas,NA
Q900,"Trissomia 21, não-disjunção meiótica",NA
Q901,"Trissomia 21, mosaicismo (não-disjunção mitótica)",NA
Q902,"Trissomia 21, translocação",NA
Q909,Síndrome de Down não especificada,NA
Q910,"Trissomia 18, não-disjunção meiótica",NA
Q911,"Trissomia 18, mosaicismo cromossômico (não-disjunção mitótica)",NA
Q912,"Trissomia 18, translocação",NA
Q913,Síndrome de Edwards não especificada,NA
Q914,"Trissomia 13, não-disjunção meiótica",NA
Q915,"Trissomia 13, mosaicismo cromossômico (não-disjunção mitótica)",NA
Q916,"Trissomia 13, translocação",NA
Q917,Síndrome de Patau não especificada,NA
Q920,"Trissomia de um cromossomo inteiro, não-disjunção meiótica",NA
Q921,"Trissomia de um cromossomo inteiro, mosaicismo cromossômico (não-disjunção mitótica)",NA
Q922,Trissomia parcial major,NA
Q923,Trissomia parcial minor,NA
Q924,Duplicações vistas somente na prometáfase,NA
Q925,Duplicação com outros rearranjos complexos,NA
Q926,Cromossomos marcadores suplementares,NA
Q927,Triploidia e poliploidia,NA
Q928,Outras trissomias especificadas e trissomias parciais dos autossomos,NA
Q929,Trissomia e trissomia parcial não especificada dos autossomos,NA
Q930,"Monossomia de cromossomo inteiro, não-disjunção meiótica",NA
Q931,"Monossomia de cromossomo inteiro, mosaicismo cromossômico (não-disjunção mitótica)",NA
Q932,Cromossomo substituído por anel ou dicêntrico,NA
Q933,Deleção do braço curto do cromossomo 4,NA
Q934,Deleção do braço curto do cromossomo 5,NA
Q935,Outras deleções parciais de cromossomo,NA
Q936,Deleções vistas somente na prometáfase,NA
Q937,Deleções com outros rearranjos complexos,NA
Q938,Outras deleções dos autossomos,NA
Q939,Deleções não especificadas dos autossomos,NA
Q950,Translocação ou inserção equilibrada em sujeito normal,NA
Q951,Inversão cromossômica em sujeito normal,NA
Q952,Rearranjo autossômico equilibrado em sujeito anormal,NA
Q953,Rearranjo sexual/autossômico equilibrado em sujeito anormal,NA
Q954,Sujeito com marcador de heterocromatina,NA
Q955,Sujeito com sítio autossômico frágil,NA
Q958,Outros rearranjos e marcadores equilibrados,NA
Q959,Rearranjos e marcadores equilibrados não especificados,NA
Q960,"Cariótipo 45, X",NA
Q961,"Cariótipo 46, X iso (Xq)",NA
Q962,"Cariótipo 46, X com cromossomo sexual anormal, salvo iso (Xq)",NA
Q963,"Mosaicismo cromossômico, 45, X/46, XX ou XY",NA
Q964,"Mosaicismo cromossômico, 45, X/outra(s) linhagens celular(es) com cromossomo sexual anormal",NA
Q968,Outras variantes da síndrome de Turner,NA
Q969,Síndrome de Turner não especificada,NA
Q970,"Cariótipo 47, XXX",NA
Q971,Mulher com mais de três cromossomos X,NA
Q972,"Mosaicismo cromossômico, linhagens com diversos números de cromossomos X",NA
Q973,"Mulher com cariótipo 46, XY",NA
Q978,"Outras anomalias especificadas dos cromossomos sexuais, fenótipo feminino",NA
Q979,"Anomalias não especificadas dos cromossomos sexuais, fenótipo feminino",NA
Q980,"Síndrome de Klinefelter, cariótipo 47, XXY",NA
Q981,"Síndrome de Klinefelter, homem com mais de dois cromossomos X",NA
Q982,"Síndrome de Klinefelter, homem com cariótipo 46, XX",NA
Q983,"Outro homem com cariótipo 46, XX",NA
Q984,Síndrome de Klinefelter não especificada,NA
Q985,"Cariótipo 47, XYY",NA
Q986,Homem com cromossomos sexuais de estrutura anormal,NA
Q987,Homem com mosaicismo dos cromossomos sexuais,NA
Q988,"Outras anomalias especificadas dos cromossomos sexuais, fenótipo masculino",NA
Q989,"Anomalias não especificadas dos cromossomos sexuais, fenótipo masculino",NA
Q990,"Quimera 46, XX/46, XY",NA
Q991,"Hermafrodite verdadeiro 46, XX",NA
Q992,Cromossomo X frágil,NA
Q998,Outras anomalias cromossômicas especificadas,NA
Q999,Anomalia cromossômica não especificada,NA
R000,Taquicardia não especificada,NA
R001,Bradicardia não especificada,NA
R002,Palpitações,NA
R008,Outras anormalidades e as não especificadas do batimento cardíaco,NA
R010,Sopros cardíacos benignos ou inocentes,NA
R011,"Sopro cardíaco, não especificado",NA
R012,Outros ruídos cardíacos,NA
R02,Gangrena não classificada em outra parte,NA
R030,Valor elevado da pressão arterial sem o diagnóstico de hipertensão,NA
R031,Valor baixo da pressão arterial não específico,NA
R040,Epistaxis,NA
R041,Hemorragia da garganta,NA
R042,Hemoptise,NA
R048,Hemorragia de outras localizações das vias respiratórias,NA
R049,Hemorragia não especificada das vias respiratórias,NA
R05,Tosse,NA
R060,Dispnéia,NA
R061,Estridor,NA
R062,Respiração ofegante,NA
R063,Respiração periódica,NA
R064,Hiperventilação,NA
R065,Respiração pela boca,NA
R066,Soluço,NA
R067,Espirro,NA
R068,Outras anormalidades e as não especificadas da respiração,NA
R070,Dor de garganta,NA
R071,Dor torácica ao respirar,NA
R072,Dor precordial,NA
R073,Outra dor torácica,NA
R074,"Dor torácica, não especificada",NA
R090,Asfixia,NA
R091,Pleurisia,NA
R092,Parada respiratória,NA
R093,Escarro anormal,NA
R098,Outros sintomas e sinais especificados relativos aos aparelhos circulatório e respiratório,NA
R100,Abdome agudo,NA
R101,Dor localizada no abdome superior,NA
R102,Dor pélvica e perineal,NA
R103,Dor localizada em outras partes do abdome inferior,NA
R104,Outras dores abdominais e as não especificadas,NA
R11,Náusea e vômitos,NA
R12,Pirose,NA
R13,Disfagia,NA
R14,Flatulência e afecções correlatas,NA
R15,Incontinência fecal,NA
R160,Hepatomegalia não classificada em outra parte,NA
R161,Esplenomegalia não classificada em outra parte,NA
R162,Hepatomegalia com esplenomegalia não classificada em outra parte,NA
R17,Icterícia não especificada,NA
R18,Ascite,NA
R190,"Massa, tumoração ou tumefação intra-abdominal e pélvica",NA
R191,Ruídos hidroaéreos anormais,NA
R192,Peristaltismo visível,NA
R193,Rigidez abdominal,NA
R194,Alteração do hábito intestinal,NA
R195,Outras anormalidades fecais,NA
R196,Halitose,NA
R198,Outros sintomas e sinais especificados relativos ao aparelho digestivo e ao abdome,NA
R200,Anestesia cutânea,NA
R201,Hipoestesia cutânea,NA
R202,Parestesias cutâneas,NA
R203,Hiperestesia,NA
R208,Outros distúrbios e os não especificadas da sensibilidade cutânea,NA
R21,Eritema e outras erupções cutâneas não especificadas,NA
R220,"Tumefação, massa ou tumoração localizadas da cabeça",NA
R221,"Tumefação, massa ou tumoração localizadas do pescoço",NA
R222,"Tumefação, massa ou tumoração localizadas do tronco",NA
R223,"Tumefação, massa ou tumoração localizadas de membro superior",NA
R224,"Tumefação, massa ou tumoração localizadas no membro inferior",NA
R227,"Tumefação, massa ou tumoração localizadas de múltiplas localizações",NA
R229,"Tumefação, massa ou tumoração não especificadas, localizadas",NA
R230,Cianose,NA
R231,Palidez,NA
R232,Rubor,NA
R233,Equimoses espontâneas,NA
R234,Alterações na textura da pele,NA
R238,Outras alterações da pele e as não especificadas,NA
R250,Movimentos anormais da cabeça,NA
R251,Tremor não especificado,NA
R252,Cãibras e espasmos,NA
R253,Fasciculação,NA
R258,Outros movimentos involuntários anormais e os não especificados,NA
R260,Marcha atáxica,NA
R261,Marcha paralítica,NA
R262,Dificuldade para andar não classificada em outra parte,NA
R268,Outras anormalidades da marcha e da mobilidade e as não especificadas,NA
R270,Ataxia não especificada,NA
R278,Outros distúrbios da coordenação e os não especificados,NA
R290,Tetania,NA
R291,Meningismo,NA
R292,Reflexos anormais,NA
R293,Postura anormal,NA
R294,Quadril estalante,NA
R296,"Tendência a queda, não classificada em outra parte",NA
R298,Outros sintomas e sinais relativos aos sistemas nervoso e osteomuscular e os não especificados,NA
R300,Disúria,NA
R301,Tenesmo vesical,NA
R309,"Micção dolorosa, não especificada",NA
R31,Hematúria não especificada,NA
R32,Incontinência urinária não especificada,NA
R33,Retenção urinária,NA
R34,Anúria e oligúria,NA
R35,Poliúria,NA
R36,Secreção uretral,NA
R390,Extravasamento de urina,NA
R391,Outras dificuldades à micção,NA
R392,Uremia extra-renal,NA
R398,Outros sintomas e sinais relativos ao aparelho urinário e os não especificados,NA
R400,Sonolência,NA
R401,Estupor,NA
R402,Coma não especificado,NA
R410,Desorientação não especificada,NA
R411,Amnésia anterógrada,NA
R412,Amnésia retrógrada,NA
R413,Outra amnésia,NA
R418,Outros sintomas e sinais especificados relativos às funções cognitivas e à consciência,NA
R42,Tontura e instabilidade,NA
R430,Anosmia,NA
R431,Parosmia,NA
R432,Parageusia,NA
R438,Outros distúrbios do olfato e do paladar e os não especificados,NA
R440,Alucinações auditivas,NA
R441,Alucinações visuais,NA
R442,Outras alucinações,NA
R443,Alucinações não especificadas,NA
R448,Outros sintomas e sinais especificados relativos às sensações e percepções gerais,NA
R450,Nervosismo,NA
R451,Agitação e inquietação,NA
R452,Tristeza,NA
R453,Apatia e desinteresse,NA
R454,Irritabilidade e mau humor,NA
R455,Hostilidade,NA
R456,Violência física,NA
R457,"Estado de choque emocional e tensão, não especificado",NA
R458,Outros sintomas e sinais relativos ao estado emocional,NA
R460,Baixo nível de higiene pessoal,NA
R461,Aparência pessoal bizarra,NA
R462,Comportamento estranho e inexplicável,NA
R463,Hiperatividade,NA
R464,Lentidão e baixa reatividade,NA
R465,Personalidade suspeita e evasiva,NA
R466,"Inquietação e preocupação exageradas com acontecimentos ""estressantes""",NA
R467,Verborragia e pormenores circunstanciais mascarando o motivo da consulta,NA
R468,Outros sintomas e sinais relativos à aparência e ao comportamento,NA
R470,Disfasia e afasia,NA
R471,Disartria e anartria,NA
R478,Outros distúrbios da fala e os não especificados,NA
R480,Dislexia e alexia,NA
R481,Agnosia,NA
R482,Apraxia,NA
R488,Outras disfunções simbólicas e as não especificadas,NA
R490,Disfonia,NA
R491,Afonia,NA
R492,Hipernasalidade e hiponasalidade,NA
R498,Outros distúrbios da voz e os não especificados,NA
R502,Febre induzida por drogas,NA
R508,Outra febre especificada,NA
R509,Febre não especificada,NA
R51,Cefaléia,NA
R520,Dor aguda,NA
R521,Dor crônica intratável,NA
R522,Outra dor crônica,NA
R529,Dor não especificada,NA
R53,"Mal estar, fadiga",NA
R54,Senilidade,NA
R55,Síncope e colapso,NA
R560,Convulsões febris,NA
R568,Outras convulsões e as não especificadas,NA
R570,Choque cardiogênico,NA
R571,Choque hipovolêmico,NA
R578,Outras formas de choque,NA
R579,Choque não especificado,NA
R58,Hemorragia não classificada em outra parte,NA
R590,Aumento de volume localizado de gânglios linfáticos,NA
R591,Aumento de volume generalizado de gânglios linfáticos,NA
R599,"Adenomegalia ou aumento de volume dos gânglios linfáticos, não especificado",NA
R600,Edema localizado,NA
R601,Edema generalizado,NA
R609,Edema não especificado,NA
R610,Hiperidrose localizada,NA
R611,Hiperidrose generalizada,NA
R619,Hiperidrose não especificada,NA
R620,Retardo de maturação,NA
R628,Outras formas de retardo do desenvolvimento fisiológico normal,NA
R629,"Retardo do desenvolvimento fisiológico normal, não especificado",NA
R630,Anorexia,NA
R631,Polidipsia,NA
R632,Polifagia,NA
R633,Dificuldades de alimentação e erros na administração de alimentos,NA
R634,Perda de peso anormal,NA
R635,Ganho de peso anormal,NA
R638,Outros sintomas e sinais relativos a ingestão de alimentos e de líquidos,NA
R64,Caquexia,NA
R680,Hipotermia não associada à baixa temperatura ambiental,NA
R681,Sintomas não específicos peculiares à infância,NA
R682,"Boca seca, não especificada",NA
R683,Baqueteamento dos dedos,NA
R688,Outros sintomas e sinais gerais especificados,NA
R69,Causas desconhecidas e não especificadas de morbidade,NA
R700,Velocidade de hemossedimentação elevada,NA
R701,Viscosidade plasmática anormal,NA
R71,Anormalidade das hemácias,NA
R72,Anormalidade dos leucócitos não classificada em outra parte,NA
R730,Teste de tolerância a glicose anormal,NA
R739,Hiperglicemia não especificada,NA
R740,Aumento dos níveis de transaminases e da desidrogenase lática (DHL),NA
R748,Níveis anormais de outras enzimas séricas,NA
R749,"Anormalidade dos níveis de enzimas séricas, não especificada",NA
R75,Evidência laboratorial do vírus da imunodeficiência humana [HIV],NA
R760,Título aumentado de anticorpos,NA
R761,Reação anormal ao teste da tuberculina,NA
R762,Exame sorológico falso positivo para sífilis,NA
R768,Outros achados imunológicos especificados anormais no soro,NA
R769,"Achado anormal de exame imunológico sérico, não especificado",NA
R770,Anormalidade da albumina,NA
R771,Anormalidade das globulinas,NA
R772,Anormalidade da alfafetoproteína,NA
R778,Outras anormalidades especificadas das proteínas plasmáticas,NA
R779,"Anormalidades de proteína plasmática, não especificadas",NA
R780,Presença de álcool no sangue,NA
R781,Presença de opiáceos no sangue,NA
R782,Presença de cocaína no sangue,NA
R783,Presença de alucinógeno no sangue,NA
R784,"Presença de outras drogas com potencial de causar dependência, no sangue",NA
R785,Presença de droga psicotrópica no sangue,NA
R786,Presença de agente esteróide no sangue,NA
R787,Presença de nível anormal de metais pesados no sangue,NA
R788,Presença de outras substâncias especificadas não normalmente encontradas no sangue,NA
R789,Presença de substância não especificada normalmente não encontrada no sangue,NA
R790,Anormalidade do nível de elementos minerais no sangue,NA
R798,Outros achados anormais especificados de exames químicos do sangue,NA
R799,"Achado anormal de exame químico do sangue, não especificado",NA
R80,Proteinúria isolada,NA
R81,Glicosúria,NA
R820,Quilúria,NA
R821,Mioglobinúria,NA
R822,Biliúria,NA
R823,Hemoglobinúria,NA
R824,Acetonúria,NA
R825,"Níveis urinários elevados de drogas, medicamentos e substâncias biológicas",NA
R826,Níveis urinários anormais de substâncias cuja origem é essencialmente não-medicinal,NA
R827,Achados anormais ao exame microbiológico da urina,NA
R828,Achados anormais ao exame citológico e histológico da urina,NA
R829,Outros achados anormais na urina e os não especificados,NA
R830,Achados anormais no líquido cefalorraquidiano - nível enzimático anormal,NA
R831,Achados anormais no líquido cefalorraquidiano - nível hormonal anormal,NA
R832,"Achados anormais no líquido cefalorraquidiano - nível anormal de outras drogas, medicamentos e substâncias biológicas",NA
R833,Achados anormais no líquido cefalorraquidiano - nível anormal de substâncias cuja origem é essencialmente não medicinal,NA
R834,Achados anormais no líquido cefalorraquidiano - achados imunológicos anormais,NA
R835,Achados anormais no líquido cefalorraquidiano - achados microbiológicos anormais,NA
R836,Achados anormais no líquido cefalorraquidiano - achados citológicos anormais,NA
R837,Achados anormais no líquido cefalorraquidiano - achados histológicos anormais,NA
R838,Achados anormais no líquido cefalorraquidiano - outros achados anormais,NA
R839,Achados anormais no líquido cefalorraquidiano - achado anormal não especificado,NA
R840,Achados anormais de material proveniente dos órgãos respiratórios e do tórax - nível enzimático anormal,NA
R841,Achados anormais de material proveniente dos órgãos respiratórios e do tórax - nível hormonal anormal,NA
R842,"Achados anormais de material proveniente dos órgãos respiratórios e do tórax - nível anormal de outras drogas, medicamentos e substâncias biológicas",NA
R843,Achados anormais de material proveniente dos órgãos respiratórios e do tórax - nível anormal de substâncias cuja origem é essencialmente não medicinal,NA
R844,Achados anormais de material proveniente dos órgãos respiratórios e do tórax - achados imunológicos anormais,NA
R845,Achados anormais de material proveniente dos órgãos respiratórios e do tórax - achados microbiológicos anormais,NA
R846,Achados anormais de material proveniente dos órgãos respiratórios e do tórax - achados citológicos anormais,NA
R847,Achados anormais de material proveniente dos órgãos respiratórios e do tórax - achados histológicos anormais,NA
R848,Achados anormais de material proveniente dos órgãos respiratórios e do tórax - outros achados anormais,NA
R849,Achados anormais de material proveniente dos órgãos respiratórios e do tórax - achado anormal não especificado,NA
R850,Achados anormais de material proveniente dos órgãos digestivos e da cavidade abdominal - nível enzimático anormal,NA
R851,Achados anormais de material proveniente dos órgãos digestivos e da cavidade abdominal - nível hormonal anormal,NA
R852,"Achados anormais de material proveniente dos órgãos digestivos e da cavidade abdominal - nível anormal de outras drogas, medicamentos e substâncias biológicas",NA
R853,Achados anormais de material proveniente dos órgãos digestivos e da cavidade abdominal - nível anormal de substâncias cuja origem é essencialmente não medicinal,NA
R854,Achados anormais de material proveniente dos órgãos digestivos e da cavidade abdominal - achados imunológicos anormais,NA
R855,Achados anormais de material proveniente dos órgãos digestivos e da cavidade abdominal - achados microbiológicos anormais,NA
R856,Achados anormais de material proveniente dos órgãos digestivos e da cavidade abdominal - achados citológicos anormais,NA
R857,Achados anormais de material proveniente dos órgãos digestivos e da cavidade abdominal - achados histológicos anormais,NA
R858,Achados anormais de material proveniente dos órgãos digestivos e da cavidade abdominal - outros achados anormais,NA
R859,Achados anormais de material proveniente dos órgãos digestivos e da cavidade abdominal - achado anormal não especificado,NA
R860,Achados anormais de material proveniente dos órgãos genitais masculinos - nível enzimático anormal,NA
R861,Achados anormais de material proveniente dos órgãos genitais masculinos - nível hormonal anormal,NA
R862,"Achados anormais de material proveniente dos órgãos genitais masculinos - nível anormal de outras drogas, medicamentos e substâncias biológicas",NA
R863,Achados anormais de material proveniente dos órgãos genitais masculinos - nível anormal de substâncias cuja origem é essencialmente não medicinal,NA
R864,Achados anormais de material proveniente dos órgãos genitais masculinos - achados imunológicos anormais,NA
R865,Achados anormais de material proveniente dos órgãos genitais masculinos - achados microbiológicos anormais,NA
R866,Achados anormais de material proveniente dos órgãos genitais masculinos - achados citológicos anormais,NA
R867,Achados anormais de material proveniente dos órgãos genitais masculinos - achados histológicos anormais,NA
R868,Achados anormais de material proveniente dos órgãos genitais masculinos - outros achados anormais,NA
R869,Achados anormais de material proveniente dos órgãos genitais masculinos - achado anormal não especificado,NA
R870,Achados anormais de material proveniente dos órgãos genitais femininos - nível enzimático anormal,NA
R871,Achados anormais de material proveniente dos órgãos genitais femininos - nível hormonal anormal,NA
